0,#System,SOLARSYSTEMID,SOLARSYSTEMNAME
2,Corporation,30000001,Tanoo
3,Region,30000002,Lashesih
4,Constellation,30000003,Akpivem
5,Solar System,30000004,Jark
6,Sun G5 (Yellow),30000005,Sasta
7,Sun K7 (Orange),30000006,Zaid
8,Sun K5 (Red Giant),30000007,Yuzier
9,Sun B0 (Blue),30000008,Nirbhi
10,Sun F0 (White),30000009,Sooma
11,Planet (Temperate),30000010,Chidah
12,Planet (Ice),30000011,Shenela
13,Planet (Gas),30000012,Asabona
14,Moon,30000013,Onsooh
15,Asteroid Belt,30000014,Shamahi
16,Stargate (Caldari System),30000015,Sendaya
17,Stargate (Amarr Constellation),30000016,Nazhgete
18,Plagioclase,30000017,Futzchag
19,Spodumain,30000018,Kazna
20,Kernite,30000019,Podion
21,Hedbergite,30000020,Lilmad
22,Arkonor,30000021,Kuharah
23,Cargo Container,30000022,Jayneleb
24,Ring,30000023,Fovihi
25,Corpse,30000024,Kiereend
26,Office Folder,30000025,Rashy
27,Office,30000026,Ordize
28,Factory Folder,30000027,Psasa
29,Credits,30000028,Eshtah
30,Faction,30000029,Lachailes
34,Tritanium,30000030,Kasrasi
35,Pyerite,30000031,Mohas
36,Mexallon,30000032,Hasiari
37,Isogen,30000033,Radima
38,Nocxium,30000034,Alkez
39,Zydrine,30000035,Nimambal
40,Megacyte,30000036,Yishinoon
41,Garbage,30000037,Uplingur
42,Spiced Wine,30000038,Dooz
43,Antibiotics,30000039,Bayuka
44,Enriched Uranium,30000040,Uzistoon
45,Frozen Plant Seeds,30000041,Bairshir
49,Player Kill,30000042,Moh
50,Company Shares,30000043,Sari
51,Bookmark,30000044,Faspera
52,Trading,30000045,Jaymass
53,Trade Session,30000046,Mifrata
54,Caldari Logistics Station,30000047,Majamar
56,Gallente Military Station,30000048,Ihal
57,Gallente Station Hub,30000049,Camal
58,C-O-1,30000050,Fera
59,C-O-2,30000051,Juddi
164,Clone Grade Alpha,30000052,Maspah
165,Clone Grade Beta,30000053,Ibaria
166,Clone Grade Gamma,30000054,Shala
178,Carbonized Lead S,30000055,Zemalu
179,Nuclear S,30000056,Khankenirdia
180,Proton S,30000057,Nikh
181,Depleted Uranium S,30000058,Amphar
182,Titanium Sabot S,30000059,Salashayama
183,Fusion S,30000060,Janus
184,Phased Plasma S,30000061,Agha
185,EMP S,30000062,Iosantin
186,Carbonized Lead M,30000063,Orva
187,Nuclear M,30000064,Zet
188,Proton M,30000065,Akhrad
189,Depleted Uranium M,30000066,Pirohdim
190,Titanium Sabot M,30000067,Sharir
191,Fusion M,30000068,Usroh
192,Phased Plasma M,30000069,Thiarer
193,EMP M,30000070,Gomati
194,Carbonized Lead L,30000071,Jangar
195,Nuclear L,30000072,Nakah
196,Proton L,30000073,Irshah
197,Depleted Uranium L,30000074,Hasateem
198,Titanium Sabot L,30000075,Assah
199,Fusion L,30000076,Tidacha
200,Phased Plasma L,30000077,Odlib
201,EMP L,30000078,Jofan
202,Mjolnir Cruise Missile,30000079,Milu
203,Scourge Cruise Missile,30000080,Yadi
204,Inferno Cruise Missile,30000081,Buftiar
205,Nova Cruise Missile,30000082,Jarizza
206,Nova Heavy Missile,30000083,Ejahi
207,Mjolnir Heavy Missile,30000084,Asghatil
208,Inferno Heavy Missile,30000085,Bar
209,Scourge Heavy Missile,30000086,Sucha
210,Scourge Light Missile,30000087,Gelhan
211,Inferno Light Missile,30000088,Akeva
212,Mjolnir Light Missile,30000089,Sosa
213,Nova Light Missile,30000090,Ilahed
215,Iron Charge S,30000091,Eshwil
216,Tungsten Charge S,30000092,Aranir
217,Iridium Charge S,30000093,Ishkad
218,Lead Charge S,30000094,Hahyil
219,Thorium Charge S,30000095,Asilem
220,Uranium Charge S,30000096,Mahnagh
221,Plutonium Charge S,30000097,Shach
222,Antimatter Charge S,30000098,Kehrara
223,Iron Charge M,30000099,Arena
224,Tungsten Charge M,30000100,Timeor
225,Iridium Charge M,30000101,Uhtafal
226,Lead Charge M,30000102,Dysa
227,Thorium Charge M,30000103,Serad
228,Uranium Charge M,30000104,Mahti
229,Plutonium Charge M,30000105,Abha
230,Antimatter Charge M,30000106,Shedoo
231,Iron Charge L,30000107,Gamis
232,Tungsten Charge L,30000108,Nieril
233,Iridium Charge L,30000109,Berta
234,Lead Charge L,30000110,Bekirdod
235,Thorium Charge L,30000111,Hothomouh
236,Uranium Charge L,30000112,Arnola
237,Plutonium Charge L,30000113,Astabih
238,Antimatter Charge L,30000114,Ubtes
239,Radio S,30000115,Bimener
240,Microwave S,30000116,Kenobanala
241,Infrared S,30000117,Khabi
242,Standard S,30000118,Uanzin
243,Ultraviolet S,30000119,Itamo
244,Xray S,30000120,Mitsolen
245,Gamma S,30000121,Jatate
246,Multifrequency S,30000122,Mahtista
247,Radio M,30000123,Vaankalen
248,Microwave M,30000124,Kylmabe
249,Infrared M,30000125,Ahtulaima
250,Standard M,30000126,Geras
251,Ultraviolet M,30000127,Sirseshin
252,Xray M,30000128,Tuuriainas
253,Gamma M,30000129,Unpas
254,Multifrequency M,30000130,Shihuken
255,Radio L,30000131,Nomaa
256,Microwave L,30000132,Ansila
257,Infrared L,30000133,Hirtamon
258,Standard L,30000134,Hykkota
259,Ultraviolet L,30000135,Outuni
260,Xray L,30000136,Ohmahailen
261,Gamma L,30000137,Eskunen
262,Multifrequency L,30000138,Ikuchi
263,Cap Booster 25,30000139,Urlen
264,Cap Booster 50,30000140,Maurasi
265,Heavy Defender Missile I,30000141,Kisogo
266,Scourge Rocket,30000142,Jita
267,Scourge Torpedo,30000143,Niyabainen
269,Mjolnir Auto-Targeting Light Missile I,30000144,Perimeter
270,Python Mine,30000145,New Caldari
377,Small Shield Extender I,30000146,Saisio
380,Small Shield Extender II,30000147,Abagawa
393,Shield Recharger I,30000148,Jakanerva
394,Shield Recharger II,30000149,Gekutami
399,Small Shield Booster I,30000150,Hurtoken
400,Small Shield Booster II,30000151,Uoyonen
405,Micro Remote Shield Booster I,30000152,Hampinen
406,Micro Remote Shield Booster II,30000153,Poinen
